"date","gdp","nks","emp","hrs","co2","sox","ls","tfpe","tfph"
"1751-01-01",,,,,10146.3226714008,,,,
"1752-01-01",,,,,10150.2985031686,,,,
"1753-01-01",,,,,10150.2985031686,,,,
"1754-01-01",,,,,10154.2743349364,,,,
"1755-01-01",,,,,10158.2501667042,,,,
"1756-01-01",,,,,10857.9965578353,,,,
"1757-01-01",,,,,10861.9723896031,,,,
"1758-01-01",,,,,10865.9482213709,,,,
"1759-01-01",,,,,10869.9240531387,,,,
"1760-01-01",,,,,10869.9240531387,,,,
"1761-01-01",,,,,11907.6161445319,,,,
"1762-01-01",,,,,11911.5919762997,,,,
"1763-01-01",,,,,11915.5678080675,,,,
"1764-01-01",,,,,11919.5436398353,,,,
"1765-01-01",,,,,11923.5194716031,,,,
"1766-01-01",,,,,13303.1330950263,,,,
"1767-01-01",,,,,13307.1089267941,,,,
"1768-01-01",,,,,13311.0847585619,,,,
"1769-01-01",,,,,13315.0605903297,,,,
"1770-01-01",,,,,13319.0364220975,,,,
"1771-01-01",,,,,14770.2150173409,,,,
"1772-01-01",,,,,14774.1908491087,,,,
"1773-01-01",,,,,14778.1666808765,,,,
"1774-01-01",,,,,14782.1425126443,,,,
"1775-01-01",,,,,14786.1183444121,,,,
"1776-01-01",,,,,16316.8135750114,,,,
"1777-01-01",,,,,16320.7894067791,,,,
"1778-01-01",,,,,16324.7652385469,,,,
"1779-01-01",,,,,16328.7410703147,,,,
"1780-01-01",,,,,16336.6927338503,,,,
"1781-01-01",,,,,18276.898636532,,,,
"1782-01-01",,,,,18280.8744682998,,,,
"1783-01-01",,,,,18288.8261318353,,,,
"1784-01-01",,,,,18292.8019636031,,,,
"1785-01-01",,,,,18300.7536271387,,,,
"1786-01-01",,,,,20777.6968184721,,,,
"1787-01-01",,,,,20785.6484820076,,,,
"1788-01-01",,,,,20789.6243137754,,,,
"1789-01-01",,,,,20797.575977311,,,,
"1790-01-01",,,,,20805.5276408466,,,,
"1791-01-01",,,,,23238.7366827343,,,,
"1792-01-01",,,,,23246.6883462698,,,,
"1793-01-01",,,,,23254.6400098054,,,,
"1794-01-01",,,,,23258.6158415732,,,,
"1795-01-01",,,,,23266.5675051088,,,,
"1796-01-01",,,,,24320.1629235732,,,,
"1797-01-01",,,,,25544.7191080526,,,,
"1798-01-01",,,,,26602.2903582848,,,,
"1799-01-01",,,,,27993.8314770114,,,,
"1800-01-01",,,,,28900.3211200676,,,,
"1801-01-01",,,,,28983.8135871912,,,,
"1802-01-01",,,,,29134.8951943673,,,,
"1803-01-01",,,,,32760.853766592,,,,
"1804-01-01",,,,,32911.935373768,,,,
"1805-01-01",,,,,34140.4673900152,,,,
"1806-01-01",,,,,36080.6732926969,,,,
"1807-01-01",,,,,36088.6249562325,,,,
"1808-01-01",,,,,36100.5524515358,,,,
"1809-01-01",,,,,36112.4799468392,,,,
"1810-01-01",,,,,36124.4074421426,,,,
"1811-01-01",,,,,38589.4231381726,,,,
"1812-01-01",,,,,40080.3600510939,,,,
"1813-01-01",,,,,40557.4598632288,,,,
"1814-01-01",,,,,41328.7712261801,,,,
"1815-01-01",,,,,42235.2608692362,,,,
"1816-01-01",,,,,44962.6814619404,,,,
"1817-01-01",,,,,45491.4670870565,,,,
"1818-01-01",,,,,45598.8145447868,,,,
"1819-01-01",,,,,45940.7360768168,,,,
"1820-01-01",,,,,46147.4793287419,,,,
"1821-01-01",,,,,46521.2075149142,,,,
"1822-01-01",,,,,48310.3318104198,,,,
"1823-01-01",,,,,50862.8158053412,,,,
"1824-01-01",,,,,53260.2423613187,,,,
"1825-01-01",,,,,53812.8829770416,,,,
"1826-01-01",,,,,54413.2335739779,,,,
"1827-01-01",,,,,56675.4818498506,,,,
"1828-01-01",,,,,57065.113363094,,,,
"1829-01-01",,,,,57876.1830437233,,,,
"1830-01-01",,,,,73640.3560030118,,,,
"1831-01-01",,,,,71362.2044000679,,,,
"1832-01-01",,,,,71171.364475214,,,,
"1833-01-01",,,,,71067.9928492514,,,,
"1834-01-01",,,,,71115.7028304649,,,,
"1835-01-01",,,,,70817.5154478807,,,,
"1836-01-01",,,,,82951.7540031766,,,,
"1837-01-01",,,,,80049.3968126897,,,,
"1838-01-01",,,,,82263.9351073489,,,,
"1839-01-01",,,,,84398.9567666523,,,,
"1840-01-01",,,,,87849.9787410942,,,,
"1841-01-01",,,,,88804.1783653639,,,,
"1842-01-01",,,,,92636.8801895138,,,,
"1843-01-01",,,,,96676.3252655887,,,,
"1844-01-01",,,,,101427.444228098,,,,
"1845-01-01",,,,,108496.473111229,,,,
"1846-01-01",,,,,103836.798279379,,,,
"1847-01-01",,,,,112360.981589521,,,,
"1848-01-01",,,,,118587.134137881,,,,
"1849-01-01",,,,,125878.809600008,,,,
"1850-01-01",,,,,133039.282613799,868.852800700777,,,
"1851-01-01",,,,,126582.531822907,829.736862318015,,,
"1852-01-01",,,,,126133.262833147,827.00640484872,,,
"1853-01-01",,,,,125437.492273784,822.787969068347,,,
"1854-01-01",,,,,151157.147979619,978.546015894151,,,
"1855-01-01",,,,,141543.586765102,920.966573440335,,,
"1856-01-01",,,,,152322.066687582,986.893909165495,,,
"1857-01-01",,,,,149594.646094877,971.025457224573,,,
"1858-01-01",,,,,146612.772269035,953.618288822456,,,
"1859-01-01",,,,,162778.50423687,1051.77886062655,,,
"1860-01-01",,,,,182244.176571971,1170.35559840738,,,
"1861-01-01",,,,,189945.362706181,1215.62155521523,,,
"1862-01-01",,,,,183894.146755604,1175.10209910215,,,
"1863-01-01",,,,,195563.212994069,1246.10447461569,,,
"1864-01-01",,,,,210412.944646766,1334.88422424988,,,
"1865-01-01",,,,,222976.573032983,1410.03233286749,,,
"1866-01-01",,,,,229751.390365298,1448.24894192074,,,
"1867-01-01",,,,,235874.171287695,1484.53657357553,,,
"1868-01-01",,,,,231365.57806302,1455.7949538565,,,
"1869-01-01",,,,,242744.408582436,1524.11317566863,,,
"1870-01-01",,,,,247940.820702938,1553.55961395932,,,
"1871-01-01",,,,,262635.494916691,1642.75341488542,,,
"1872-01-01",,,,,276690.06021583,1727.27285192401,,,
"1873-01-01",,,,,287182.280251028,1789.04364567306,,,
"1874-01-01",,,,,279075.559276504,1739.014487816,,,
"1875-01-01",,,,,294593.230666189,1834.54956479413,,,
"1876-01-01",,,,,294084.324199912,1830.44903082203,,,
"1877-01-01",,,,,299380.132114609,1861.13564937402,,,
"1878-01-01",,,,,294036.614218699,1828.01180151433,,,
"1879-01-01",,,,,295849.593504811,1837.14303787011,,,
"1880-01-01",,,,,322412.125545418,1998.9148253219,,,
"1881-01-01",,,,,338891.948222909,2094.37230324316,,,
"1882-01-01",,,,,341770.450422789,2138.12345400771,,,
"1883-01-01",,,,,355622.24830177,2226.54082907924,,,
"1884-01-01",,,,,346255.188656856,2171.63800673403,,,
"1885-01-01",,,,,342124.299450122,2141.49967178096,,,
"1886-01-01",,,,,339019.174839478,2124.09395409612,,,
"1887-01-01",,,,,347714.318915636,2180.66322870207,,,
"1888-01-01",,,,,361522.382645171,2277.53142430051,,,
"1889-01-01",,,,,374388.174245741,2368.2914088766,,,
"1890-01-01",,,,,383067.414994827,2436.01780494793,,,
"1891-01-01",,,,,391150.280978745,2491.25632266798,,,
"1892-01-01",,,,,383051.511667756,2448.11757213666,,,
"1893-01-01",,,,,343122.233223838,2209.07192206287,,,
"1894-01-01",,,,,392919.526115411,2520.4882938782,,,
"1895-01-01",,,,,396660.783808902,2545.39441400628,,,
"1896-01-01",,,,,407979.976851801,2620.81890242835,,,
"1897-01-01",,,,,418818.094250797,2696.54263647962,,,
"1898-01-01",,,,,419804.100529209,2719.22167172321,,,
"1899-01-01",,,,,449833.557871329,2907.23434970192,,,
"1900-01-01",,,,,455463.33565452,2945.33793038689,,,
"1901-01-01",,,,,445654.958683382,2895.1171896437,,,
"1902-01-01",,,,,462949.826873269,3007.53647030278,,,
"1903-01-01",,,,,466579.761277262,3045.44237657794,,,
"1904-01-01",,,,,468758.517086011,3062.4849609096,,,
"1905-01-01",,,,,474921.056326086,3113.27065151442,,,
"1906-01-01",,,,,491933.640460461,3236.10147828953,,,
"1907-01-01",,,,,513872.280155127,3394.61520571004,,,
